Sepal.Length,Sepal.Width,Petal.Length,Petal.Width
7.930877,4.361379,6.133483,2.453469
7.832247,2.826566,7.854272,2.904333
5.834688,2.964135,3.834915,1.223689
7.309819,3.671721,5.795679,2.184577
5.947814,2.649245,4.444867,1.425213
7.116360,3.243915,5.955606,2.174570
6.510646,3.321043,4.692738,1.652690
7.110888,3.764338,5.297155,1.989878
6.515955,2.458440,5.776877,1.955743
6.736072,2.927001,5.617568,1.973430
6.309855,3.441402,4.156094,1.446864
6.723454,2.810032,5.738883,2.003620
6.829166,3.058366,5.633358,2.004043
6.905510,3.088207,5.743276,2.056121
7.737342,3.142747,7.277812,2.717256
6.482851,2.867152,5.204273,1.787147
6.080667,2.650153,4.699664,1.533506
6.180487,1.572464,6.233643,1.988304
7.290523,3.588137,5.862568,2.197747
7.250930,4.173387,5.057678,1.962712
6.541433,3.256433,4.832484,1.700232
5.702728,2.674804,3.940915,1.216005
7.095452,3.484586,5.615701,2.074135
6.021412,2.415856,4.877207,1.566200
7.085508,4.421211,4.430479,1.741660
6.118619,2.506760,4.951294,1.614188
7.008144,2.760347,6.349164,2.253560
7.088681,3.096738,6.085516,2.202909
6.579164,2.867441,5.389451,1.865783
6.944160,3.239786,5.629021,2.035227
6.440302,3.244909,4.652013,1.621549
6.945662,3.750683,4.995864,1.859535
6.028811,2.228234,5.125044,1.637222
